Name,Aliases,Nationality,Ethnicity
Serena Sterling,Unknown,American,Caucasian
Sarah Vandella,"Sara Sloan, Sarah Sloane, Sarah Vandela, Sara Sloane, Sara Vandella, Sara Vandela",American,Caucasian
Nicole Aniston,Ashley Nicole,Unknown,Caucasian
Sage Hunter,Unknown,American,Caucasian
Liz Ocean,Anna Devito,Hungarian,Caucasian
Megan Marx,Unknown,American,Caucasian
Siri Dahl,"Siri Pornstar, Siri",Unknown,Caucasian
Skye Blue,Unknown,American,Caucasian
Natalia Starr,"Natalie Star, Katarzyna Tyszka, Tiffany Polanski",Polish,Caucasian
Ivy Ireland,Unknown,American,Caucasian
Amber Alena,Unknown,Unknown,Caucasian
Amber Summer,Unknown,American,Latin
Katie St Ives,"Katie St. Ives, Katie Stives, Lilith Rose",Unknown,Caucasian
Ariella Ferrera,Elle Ferrera,Colombian,Latin
Nikki Benz,"Niki Benz, Nikke Benz, Nikky Benz, Nikkie Benz","Canadian, Ukrainian, American",Caucasian
Bunny Madison,Bunny C,American,Caucasian
Savannah Bond,Kelli Anne Oxley,Australian,Caucasian
Charlie Forde,Unknown,Australian,Caucasian
Lily Starfire,Unknown,American,Black
Honey Blossom,Unknown,Unknown,Caucasian
Zlata Shine,Unknown,Russian,Caucasian
Hazel Heart,Unknown,American,Latin
Cassie Del Isla,Cassia Del Isla,French,Mixed
Cecelia Taylor,Cecilia Taylor,American,Caucasian
Elana Bunnz,"Elena Bunnz, E Bunnz",American,Caucasian
Aidra Fox,"Morgan Teresa Gonia, Neon Lolita",American,Caucasian
Gina Gerson,"Gina Gershon, Doris Ivy",Unknown,Caucasian
Autumn Falls,Unknown,American,Latin
Laney Grey,Delaney Marie Dysthe,American,Caucasian
Octokuro,"Marina Dyagileva, Octokuro Suicide",Unknown,Caucasian
Katrina Colt,Unknown,American,Caucasian
Valerica Steele,"Valerie Steele, Val Steele",American,Caucasian
Selina Bentz,Unknown,American,Caucasian
Lilly Mays,"Monica I, Lilli Mays",Latvian,Caucasian
Keisha Grey,Unknown,American,Latin
Rebel Rhyder,Unknown,Unknown,Caucasian
Ava Addams,"Alexia Roy, Ava Spice, Ava Adams",Unknown,Caucasian
Venus Vixen,Unknown,American,Caucasian
Violet Starr,Kuleana,American,Latin
Penelope Kay,Unknown,American,Caucasian
Adria Rae,Aspen Reign,American,Caucasian
Alexis Texas,Thea Alexis Samper,American,Caucasian
Serene Siren,Bella Bends,Unknown,Caucasian
Gigi Dior,Georgina Dior,American,Caucasian
Anita Rover,Unknown,French,Caucasian
Julia Ann,"Julia Ann Tavella, Julie Ann",American,Caucasian
Pristine Edge,"Jane Doux, Jane Douxxx",American,Caucasian
Penny Barber,"Penney Play, Penny Play",American,Caucasian
Sophia Sterling,Unknown,American,Caucasian
Andi Avalon,Unknown,American,Unknown
Ohana Petite,"Andrea Galán López, Andy Bloom",Spanish,Latin
Little Caprice,"Marketa, Caprice S, Marketa Stroblova, Lola, Lolashut, Caprice A",Czech,Caucasian
Matty Mila Perez,"Matty Matty, Euphory Euphory, Marfa Pushkina, Matty Perez, Metty Metty",Latvian,Caucasian
Charlotte Mae,Unknown,American,Caucasian
Julia James,Unknown,Unknown,Caucasian
Stacy Cruz,"Stacey Cruz, Little Pia",Czech,Caucasian
Lola Aiko,Unknown,American,Latin
