Name,Aliases,Nationality,Ethnicity
Jason Cody,Cody Jason,American,Mixed
Karlo Karrera,"Karlos Carrera, Carlo Carrera, Kazlo Carrera, Carlos Rios, Karlo Carrera, Rios",Unknown,Latin
Jack Vegas,Unknown,American,Caucasian
Jon Jon,Unknown,Unknown,Unknown
Tommy Cabrio,Unknown,Spanish,Caucasian
Giovanni,"Papi Tarzan, GianCarlo Cavallero",Unknown,Caucasian
Alberto Blanco,Killian Kenzzo,Unknown,Caucasian
Big Dick Nick,Debauchery Desired,American,Caucasian
Angelo Godshack,"Paolo Verdi, Angelo Guardi, Ennio Guardi, Angelo Guardini, Pavel, Rudi, Woody Pepino, Angelo Danda, Emilio Guardi, Perry, Joe, Paulie, Lloyd Kenda, Leo Cooper",Unknown,Caucasian
Steve Holmes,"Steve Home, Chris Christof, Chris Long, Christian Christoff, Chris Delon, Cristian Metz, Steve Adams, Kai-Uwe Bergmann",German,Caucasian
Jules Jordan,"Chaz Masters, Master Blaster",American,Caucasian
Brad Knight,Unknown,Unknown,Unknown
Alex Mack,Unknown,Russian,Caucasian
Jordi El Nino Polla,Jordi ENP,Unknown,Unknown
Thomas Stone,Unknown,Hungarian,Caucasian
George Uhl,Unknown,Unknown,Caucasian
Chris Lockwood,"Caden Matthews, Christian Claps, Caden Barlowe",American,Caucasian
Anthony Pierce,Unknown,Unknown,Unknown
Steve Q,Unknown,Unknown,Unknown
Rob Piper,Unknown,Unknown,Unknown
Michael Fly,Unknown,Unknown,Unknown
Alex Romero,Unknown,French,Caucasian
Rodrigo Amor,Unknown,Cuban,Mixed
Jason Sarcinelli,Unknown,Unknown,Caucasian
Lawson Jones,Larson Jones,American,Black
Johnny Castle,"Antonio, Johnny, Danny Castle",American,Caucasian
Charles Neptune,"Sir Neptune, Neptune",American,Black
David Perry,Unknown,Unknown,Unknown
Christian Xxx,"ChristianXXX, Christian N, Christian X, Maxx Diesel",American,Caucasian
Zane Walker,Unknown,American,Unknown
Chad Alva,Vin Vericose,Unknown,Unknown
Yeri Blue,Unknown,Spanish,Latin
Dean Van Damme,Van Damme,British,Caucasian
Dillon Diaz,Dillion Diaz,American,Black
Yves Morgan,"Bob Karcher, Black Karchair",Belgian,Black
